NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04284046,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",Not Applicable,Generic,Unknown,39,2020-02-18,China,Unknown
NCT04274621,Ningbo No. 1 Hospital,Not Applicable,Generic,Unknown,572,2020-02-20,China,Unknown
NCT04261517,Shanghai Public Health Clinical Center,Not Applicable,Treatment,Phase 3,30,2020-02-25,China,Unknown
NCT04293692,Puren Hospital Affiliated to Wuhan University of Science and Technology,"Wuhan Hamilton Bio-technology Co., Ltd",Treatment,Unknown,0,2020-02-25,China,Unknown
NCT04281693,Affiliated Hospital to Academy of Military Medical Sciences,The Fifth Medical Center of Chinese PLA General Hospital,Screening,Unknown,230,2020-03-01,China,Unknown
NCT04337502,Maastricht University,The Central Hospital of Wuhan,Generic,Unknown,300,2020-03-03,China,Unknown
NCT04302688,Renmin Hospital of Wuhan University,Not Applicable,Generic,Unknown,669,2020-03-04,China,Unknown
NCT04316299,Zhenhua Zen,Not Applicable,Generic,Unknown,287,2020-03-08,China,Unknown
NCT04292964,Chongqing Medical University,Not Applicable,Generic,Unknown,201,2020-03-13,China,Unknown
NCT04312464,"Wuhan Union Hospital, China",Not Applicable,Generic,Unknown,500,2020-03-18,China,Unknown
NCT04291729,The Ninth Hospital of Nanchang,"Ascletis Pharmaceuticals Co., Ltd.",Treatment,Phase 4,11,2020-03-19,China,Unknown
NCT04378712,Guangzhou Institute of Respiratory Disease,Not Applicable,Treatment,Unknown,90,2020-03-23,China,Unknown
NCT04359251,"Southeast University, China",Not Applicable,Treatment,Unknown,20,2020-03-25,China,Unknown
NCT04264533,ZhiYong Peng,Not Applicable,Treatment,Phase 2,56,2020-03-29,China,Unknown
NCT04318301,Zhenhua Zen,Not Applicable,Generic,Unknown,275,2020-03-30,China,Unknown
NCT04280913,Guangzhou Institute of Respiratory Disease,Huizhou Municipal Central Hospital,Generic,Unknown,0,2020-03-31,China,Unknown
NCT04323332,Xiyuan Hospital of China Academy of Chinese Medical Sciences,Not Applicable,Treatment,Phase 3,50,2020-04-01,China,Unknown
NCT04287686,The First Affiliated Hospital of Guangzhou Medical University,Not Applicable,Treatment,Unknown,0,2020-04-01,China,Unknown
NCT04365634,Tongji Hospital,Not Applicable,Generic,Unknown,306,2020-04-01,China,Unknown
NCT04306055,Guangzhou Blood Center,Not Applicable,Health Services Research,Unknown,19491,2020-04-03,China,Unknown
NCT04352842,RenJi Hospital,Not Applicable,Generic,Unknown,51,2020-04-08,China,Unknown
NCT04320953,Changhai Hospital,Not Applicable,Other,Unknown,5,2020-04-09,China,Unknown
NCT04257656,Capital Medical University,Not Applicable,Treatment,Phase 3,237,2020-04-10,China,Unknown
NCT04244591,Peking Union Medical College Hospital,Zhongda Hospital,Treatment,Phase 2,80,2020-04-13,China,Unknown
NCT04345276,Huoshenshan Hospital,"Ascletis Pharmaceuticals Co., Ltd.",Treatment,Phase 4,10,2020-04-15,China,Unknown
NCT04328454,Shanghai 10th People's Hospital,"Chibi People's Hospital, Hubei Province",Generic,Unknown,120,2020-04-15,China,Recruiting
NCT04273321,Beijing Chao Yang Hospital,Not Applicable,Treatment,Unknown,86,2020-04-15,China,Unknown
NCT04260308,Huazhong University of Science and Technology,Not Applicable,Generic,Unknown,30000,2020-04-20,China,Recruiting
NCT04479202,Chinese Medical Association,Not Applicable,Treatment,Phase 4,76,2020-04-23,China,Unknown
NCT04252664,Capital Medical University,Chinese Academy of Medical Sciences,Treatment,Phase 3,308,2020-04-27,China,Unknown
NCT04251767,The Second Hospital of Nanjing Medical University,Not Applicable,Treatment,Unknown,0,2020-04-30,China,Unknown
NCT04255940,Qilu Hospital of Shandong University,Not Applicable,Generic,Unknown,12000,2020-04-30,China,Recruiting
NCT04272710,Chongqing Medical University,Not Applicable,Generic,Unknown,0,2020-04-30,China,Unknown
NCT04324489,Renmin Hospital of Wuhan University,"Ansun Biopharma, Inc.",Treatment,Unknown,4,2020-04-30,China,Unknown
NCT04310228,Peking University First Hospital,Not Applicable,Treatment,Unknown,150,2020-05-01,China,Recruiting
NCT04275414,Qilu Hospital of Shandong University,Renmin Hospital of Wuhan University,Treatment,Phase 2,27,2020-05-02,China,Unknown
NCT04370886,Guangzhou Blood Center,Not Applicable,Health Services Research,Unknown,456517,2020-05-10,China,Unknown
NCT04389333,Changhai Hospital,Not Applicable,Prevention,Unknown,40,2020-05-20,China,Unknown
NCT04306497,"Jiangsu Famous Medical Technology Co., Ltd.",Not Applicable,Generic,Unknown,340,2020-05-30,China,Unknown
NCT04264858,"Wuhan Union Hospital, China",Not Applicable,Treatment,Unknown,10,2020-05-31,China,Unknown
