NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04358081,Novartis Pharmaceuticals,Not Applicable,Treatment,Phase 3,20,2020-07-27,United States,Unknown
NCT04411628,Eli Lilly and Company,AbCellera Biologics Inc.,Basic Science,Phase 1,24,2020-08-26,United States,Unknown
NCT04497948,AstraZeneca,Acerta Pharma B.V.,Treatment,Phase 1,20,2020-09-28,United States,Unknown
NCT04412252,Pfizer,Not Applicable,Treatment,Phase 2,0,2020-10-18,United States,Unknown
NCT04362137,Novartis Pharmaceuticals,Incyte Corporation,Treatment,Phase 3,402,2020-10-19,United States,"Active, not recruiting"
NCT04380688,AstraZeneca,Acerta Pharma B.V.,Treatment,Phase 2,61,2020-11-19,United States,Unknown
NCT04342897,Eli Lilly and Company,Not Applicable,Treatment,Phase 2,210,2020-11-30,United States,Unknown
NCT04421027,Eli Lilly and Company,Not Applicable,Treatment,Phase 3,600,2020-12-05,United States,Recruiting
NCT04362813,Novartis Pharmaceuticals,Not Applicable,Treatment,Phase 3,451,2020-12-22,United States,Unknown
NCT04427501,Eli Lilly and Company,AbCellera Biologics Inc.,Treatment,Phase 2,800,2021-01-15,United States,Recruiting
NCT04382651,Novartis Pharmaceuticals,Not Applicable,Treatment,Phase 2,120,2021-01-26,United States,Recruiting
NCT04518410,National Institute of Allergy and Infectious Diseases (NIAID),Eli Lilly and Company,Treatment,Phase 2,2000,2021-02-01,United States,Recruiting
NCT04535167,Pfizer,Not Applicable,Treatment,Phase 1,56,2021-03-21,United States,Recruiting
NCT04575610,Yale University,Pfizer,Treatment,Phase 2,68,2021-03-31,United States,Unknown
NCT04508023,"Janssen Research & Development, LLC",Not Applicable,Treatment,Phase 3,4000,2021-04-06,United States,Recruiting
NCT04366050,"University of California, San Diego",Pfizer,Treatment,Phase 2,560,2021-05-01,United States,Unknown
NCT04497987,Eli Lilly and Company,National Institute of Allergy and Infectious Diseases (NIAID),Prevention,Phase 3,2400,2021-06-29,United States,Recruiting
NCT04405076,"ModernaTX, Inc.",Biomedical Advanced Research and Development Authority,Prevention,Phase 2,600,2021-08-01,United States,Unknown
NCT04380961,"Janssen Pharmaceutica N.V., Belgium",Not Applicable,Treatment,Phase 2,270,2021-08-06,United States,Not yet recruiting
NCT04516746,AstraZeneca,Iqvia Pty Ltd,Treatment,Phase 3,30000,2022-10-05,United States,Unknown
NCT04470427,"ModernaTX, Inc.",Biomedical Advanced Research and Development Authority,Prevention,Phase 3,30000,2022-10-27,United States,Recruiting
NCT04368728,BioNTech SE,Pfizer,Prevention,Phase 2,43998,2022-12-11,United States,Recruiting
NCT03474965,Novartis Pharmaceuticals,Not Applicable,Treatment,Phase 2,100,2024-11-20,United States,Recruiting
