NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04440150,Kahramanmaras Sutcu Imam University,Not Applicable,Diagnostic,Unknown,70,2019-06-01,Turkey,Unknown
NCT04435028,Horus University,Not Applicable,Generic,Unknown,111,2019-08-13,Egypt,Unknown
NCT04284046,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",Not Applicable,Generic,Unknown,39,2020-02-18,China,Unknown
NCT04274621,Ningbo No. 1 Hospital,Not Applicable,Generic,Unknown,572,2020-02-20,China,Unknown
NCT04261517,Shanghai Public Health Clinical Center,Not Applicable,Treatment,Phase 3,30,2020-02-25,China,Unknown
NCT04366297,Lazarski University,Poznan University of Medical Sciences,Treatment,Unknown,41,2020-02-25,Poland,Unknown
NCT04293692,Puren Hospital Affiliated to Wuhan University of Science and Technology,"Wuhan Hamilton Bio-technology Co., Ltd",Treatment,Unknown,0,2020-02-25,China,Unknown
NCT04285801,Chinese University of Hong Kong,Not Applicable,Generic,Unknown,8,2020-02-25,Hong Kong,Unknown
NCT04363775,Lazarski University,Poznan University of Medical Sciences,Treatment,Unknown,35,2020-02-25,Poland,Unknown
NCT04281693,Affiliated Hospital to Academy of Military Medical Sciences,The Fifth Medical Center of Chinese PLA General Hospital,Screening,Unknown,230,2020-03-01,China,Unknown
NCT04337502,Maastricht University,The Central Hospital of Wuhan,Generic,Unknown,300,2020-03-03,China,Unknown
NCT04302688,Renmin Hospital of Wuhan University,Not Applicable,Generic,Unknown,669,2020-03-04,China,Unknown
NCT04041453,Alejandro Krolewiecki,Brock University,Treatment,Phase 2,176,2020-03-07,Argentina,Unknown
NCT04316299,Zhenhua Zen,Not Applicable,Generic,Unknown,287,2020-03-08,China,Unknown
NCT04292964,Chongqing Medical University,Not Applicable,Generic,Unknown,201,2020-03-13,China,Unknown
NCT04312464,"Wuhan Union Hospital, China",Not Applicable,Generic,Unknown,500,2020-03-18,China,Unknown
NCT04291729,The Ninth Hospital of Nanchang,"Ascletis Pharmaceuticals Co., Ltd.",Treatment,Phase 4,11,2020-03-19,China,Unknown
NCT04321369,Dr. Deneen Vojta,Quest Diagnostics,Generic,Unknown,533,2020-03-23,United States,Unknown
NCT04378712,Guangzhou Institute of Respiratory Disease,Not Applicable,Treatment,Unknown,90,2020-03-23,China,Unknown
NCT04359251,"Southeast University, China",Not Applicable,Treatment,Unknown,20,2020-03-25,China,Unknown
NCT04388579,University of Lisbon,Centro Hospitalar Lisboa Norte,Generic,Unknown,100,2020-03-27,Portugal,Unknown
NCT04264533,ZhiYong Peng,Not Applicable,Treatment,Phase 2,56,2020-03-29,China,Unknown
NCT04345549,Aarogyam UK,Not Applicable,Supportive Care,Unknown,18,2020-03-30,United Kingdom,Unknown
NCT04318301,Zhenhua Zen,Not Applicable,Generic,Unknown,275,2020-03-30,China,Unknown
NCT04322786,"University College, London",Not Applicable,Generic,Unknown,1302508,2020-03-31,N.A,Unknown
NCT04276688,The University of Hong Kong,"Hospital Authority, Hong Kong",Treatment,Phase 2,127,2020-03-31,Hong Kong,Unknown
NCT04280913,Guangzhou Institute of Respiratory Disease,Huizhou Municipal Central Hospital,Generic,Unknown,0,2020-03-31,China,Unknown
NCT04287686,The First Affiliated Hospital of Guangzhou Medical University,Not Applicable,Treatment,Unknown,0,2020-04-01,China,Unknown
NCT04430231,Fundación para la Investigación del Hospital Clínico de Valencia,Not Applicable,Generic,Unknown,602,2020-04-01,N.A,Unknown
NCT04323332,Xiyuan Hospital of China Academy of Chinese Medical Sciences,Not Applicable,Treatment,Phase 3,50,2020-04-01,China,Unknown
NCT04365634,Tongji Hospital,Not Applicable,Generic,Unknown,306,2020-04-01,China,Unknown
NCT04387643,Aarogyam UK,"Samta Ayurveda Prakoshtha, India",Generic,Unknown,52,2020-04-02,India,Unknown
NCT04306055,Guangzhou Blood Center,Not Applicable,Health Services Research,Unknown,19491,2020-04-03,China,Unknown
NCT04449094,Centre Hospitalier Universitaire de Nice,Not Applicable,Generic,Unknown,200,2020-04-04,France,Unknown
NCT04343781,"University Hospital, Angers",Not Applicable,Generic,Unknown,353,2020-04-05,France,Unknown
NCT04358614,Fabrizio Cantini,Not Applicable,Treatment,Phase 2,12,2020-04-07,Italy,Unknown
NCT04365881,Modum Bad,University of Oslo,Generic,Unknown,10084,2020-04-07,Norway,Unknown
NCT04377074,University of Oslo,Modum Bad Psychiatric Center,Generic,Unknown,2880,2020-04-07,Norway,Unknown
NCT04374097,University of Oslo,Modum Bad Psychiatric Center,Generic,Unknown,1778,2020-04-07,Norway,Unknown
NCT04356365,University of Oslo,Modum Bad Psychiatric Hospital,Generic,Unknown,10084,2020-04-07,Norway,Unknown
NCT04352842,RenJi Hospital,Not Applicable,Generic,Unknown,51,2020-04-08,China,Unknown
NCT04320953,Changhai Hospital,Not Applicable,Other,Unknown,5,2020-04-09,China,Unknown
NCT04257656,Capital Medical University,Not Applicable,Treatment,Phase 3,237,2020-04-10,China,Unknown
NCT04327804,Dr. Deneen Vojta,PATH,Generic,Unknown,120,2020-04-10,United States,Recruiting
NCT04374422,Acibadem University,Not Applicable,Generic,Unknown,58,2020-04-12,Turkey,Unknown
NCT04351542,Aarogyam UK,Not Applicable,Supportive Care,Unknown,32,2020-04-12,United Kingdom,Unknown
NCT04244591,Peking Union Medical College Hospital,Zhongda Hospital,Treatment,Phase 2,80,2020-04-13,China,Unknown
NCT04385212,"University Hospital, Geneva",Not Applicable,Generic,Unknown,230,2020-04-14,Switzerland,Unknown
NCT04343404,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,100,2020-04-15,France,Unknown
NCT04273321,Beijing Chao Yang Hospital,Not Applicable,Treatment,Unknown,86,2020-04-15,China,Unknown
NCT04339387,Brigham and Women's Hospital,Not Applicable,Generic,Unknown,1500,2020-04-15,United States,Recruiting
NCT04345276,Huoshenshan Hospital,"Ascletis Pharmaceuticals Co., Ltd.",Treatment,Phase 4,10,2020-04-15,China,Unknown
NCT04375501,Barts & The London NHS Trust,University College London Hospitals,Generic,Unknown,442,2020-04-15,United Kingdom,Unknown
NCT04328454,Shanghai 10th People's Hospital,"Chibi People's Hospital, Hubei Province",Generic,Unknown,120,2020-04-15,China,Recruiting
NCT04344197,University of Rome Tor Vergata,Not Applicable,Generic,Unknown,1200,2020-04-15,Italy,Unknown
NCT04371562,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Not Applicable,Generic,Unknown,300,2020-04-15,Italy,Unknown
NCT04319315,Assiut University,Not Applicable,Generic,Unknown,400,2020-04-16,Egypt,Recruiting
NCT04358510,Dascena,Not Applicable,Generic,Unknown,114,2020-04-17,United States,Unknown
NCT04358536,Dascena,Not Applicable,Generic,Unknown,230,2020-04-17,United States,Unknown
NCT04355871,Fundacion SEIMC-GESIDA,Not Applicable,Generic,Unknown,4035,2020-04-17,Spain,Unknown
NCT04354753,Aarogyam UK,University of Warwick,Generic,Unknown,80,2020-04-17,United Kingdom,Unknown
NCT04367896,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Not Applicable,Generic,Unknown,1819,2020-04-17,Italy,Unknown
NCT04407117,"Claus Anders Bertelsen, PhD, MD",Not Applicable,Generic,Unknown,6000000,2020-04-19,Denmark,Unknown
NCT04260308,Huazhong University of Science and Technology,Not Applicable,Generic,Unknown,30000,2020-04-20,China,Recruiting
NCT04361877,Klinikum der Universitaet Muenchen,Not Applicable,Generic,Unknown,1900,2020-04-20,Germany,Recruiting
NCT04285190,"Tasly Pharmaceuticals, Inc.",Not Applicable,Treatment,Unknown,0,2020-04-20,N.A,Unknown
NCT04420312,Groupe Hospitalier Paris Saint Joseph,Not Applicable,Generic,Unknown,1024,2020-04-20,France,Unknown
NCT04344327,French Cardiology Society,"Institut National de la Santé Et de la Recherche Médicale, France",Generic,Unknown,2878,2020-04-21,France,Unknown
NCT04305574,Jean Liu,Not Applicable,Generic,Unknown,1145,2020-04-21,Singapore,Unknown
NCT04373161,Swedish Hospital,Not Applicable,Diagnostic,Unknown,209,2020-04-22,United States,Unknown
NCT04358640,Centre Hospitalier Universitaire de Nīmes,Not Applicable,Generic,Unknown,2000,2020-04-22,France,Recruiting
NCT04368377,University of Milan,"Fondazione ""Un Cuore per Milano"" - a no profit foundation",Treatment,Phase 2,5,2020-04-23,Italy,Unknown
NCT04479202,Chinese Medical Association,Not Applicable,Treatment,Phase 4,76,2020-04-23,China,Unknown
NCT04370678,Region Zealand,Not Applicable,Generic,Unknown,79,2020-04-24,Denmark,Unknown
NCT04350671,Shahid Beheshti University of Medical Sciences,Not Applicable,Treatment,Phase 4,40,2020-04-24,"Iran, Islamic Republic of",Unknown
NCT04363788,Lazarski University,Medical University of Bialystok,Generic,Unknown,300,2020-04-24,Poland,Unknown
NCT04350684,Shahid Beheshti University of Medical Sciences,Not Applicable,Treatment,Phase 4,40,2020-04-24,"Iran, Islamic Republic of",Unknown
NCT04382092,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,BioMérieux,Diagnostic,Unknown,32,2020-04-24,Belgium,Unknown
NCT04357769,Federico II University,Not Applicable,Generic,Unknown,400,2020-04-25,Italy,Recruiting
NCT04380727,"Central Hospital, Nancy, France",Not Applicable,Generic,Unknown,17,2020-04-25,France,Unknown
NCT04453501,Centre d'Investigation Clinique et Technologique 805,Not Applicable,Generic,Unknown,132,2020-04-25,France,Unknown
NCT04379232,Hospices Civils de Lyon,Not Applicable,Generic,Unknown,112,2020-04-25,France,Unknown
NCT04337346,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Generic,Unknown,80,2020-04-25,Turkey,Unknown
NCT04555005,Instituto de Investigación Hospital Universitario La Paz,Hospital Universitario La Paz,Supportive Care,Unknown,1000,2020-04-26,Spain,Unknown
NCT04392245,Societa Italiana di Chirurgia ColoRettale,Gaetano Gallo,Generic,Unknown,1050,2020-04-26,Italy,Unknown
NCT04365738,Istanbul Bilgi University,Not Applicable,Treatment,Unknown,270,2020-04-26,Turkey,Unknown
NCT04379453,Hospital Israelita Albert Einstein,Not Applicable,Treatment,Unknown,10,2020-04-27,Brazil,Recruiting
NCT04353011,"University Hospital, Lille",Not Applicable,Generic,Unknown,312,2020-04-27,France,Unknown
NCT04343768,Shahid Beheshti University of Medical Sciences,Not Applicable,Treatment,Phase 2,60,2020-04-27,"Iran, Islamic Republic of",Unknown
NCT04252664,Capital Medical University,Chinese Academy of Medical Sciences,Treatment,Phase 3,308,2020-04-27,China,Unknown
NCT04365972,Tel Aviv University,Not Applicable,Treatment,Unknown,20,2020-04-30,Israel,Unknown
NCT04352582,"University Hospital, Geneva",University of Zurich,Generic,Unknown,1000,2020-04-30,United Kingdom,Recruiting
NCT04323631,Rambam Health Care Campus,Rabin Medical Center,Treatment,Early Phase 1,0,2020-04-30,N.A,Unknown
NCT04374071,Henry Ford Health System,Not Applicable,Generic,Unknown,250,2020-04-30,United States,Unknown
NCT04371471,Groupe Hospitalier de la Rochelle Ré Aunis,Numa Health International,Generic,Unknown,50,2020-04-30,France,Unknown
NCT04251767,The Second Hospital of Nanjing Medical University,Not Applicable,Treatment,Unknown,0,2020-04-30,China,Unknown
NCT04331574,Societa Italiana dell'Ipertensione Arteriosa,Not Applicable,Generic,Unknown,2000,2020-04-30,Italy,Recruiting
NCT04506515,Hospital General Universitario de Valencia,Not Applicable,Generic,Unknown,3000,2020-04-30,Spain,Unknown
NCT04255940,Qilu Hospital of Shandong University,Not Applicable,Generic,Unknown,12000,2020-04-30,China,Recruiting
NCT04351633,"University Hospital, Lille",Not Applicable,Generic,Unknown,52,2020-04-30,France,Unknown
NCT04307693,Asan Medical Center,Not Applicable,Treatment,Phase 2,65,2020-04-30,"Korea, Republic of",Unknown
NCT04521010,Poznan University of Medical Sciences,Not Applicable,Generic,Unknown,700,2020-04-30,Poland,Unknown
NCT04370197,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,300,2020-04-30,France,Recruiting
NCT04315870,Federico II University,Not Applicable,Generic,Unknown,20,2020-04-30,Italy,Recruiting
NCT04272710,Chongqing Medical University,Not Applicable,Generic,Unknown,0,2020-04-30,China,Unknown
NCT04346160,G. d'Annunzio University,Not Applicable,Generic,Unknown,25,2020-04-30,Italy,Unknown
NCT04407494,"University Hospital, Montpellier",Not Applicable,Generic,Unknown,809,2020-04-30,France,Unknown
NCT04324489,Renmin Hospital of Wuhan University,"Ansun Biopharma, Inc.",Treatment,Unknown,4,2020-04-30,China,Unknown
NCT04375774,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Not Applicable,Prevention,Unknown,10,2020-05-01,Belgium,Recruiting
NCT04389320,Assiut University,Not Applicable,Generic,Unknown,60,2020-05-01,Egypt,Unknown
NCT04336657,Assiut University,Not Applicable,Generic,Unknown,100,2020-05-01,Egypt,Recruiting
NCT04382781,Spanish Network for Research in Infectious Diseases,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,Generic,Unknown,500,2020-05-01,Spain,Recruiting
NCT04335019,Assistance Publique - Hôpitaux de Paris,Not Applicable,Generic,Unknown,300,2020-05-01,N.A,Unknown
NCT04344106,ELHARRAR Xavier,Not Applicable,Supportive Care,Unknown,25,2020-05-01,France,Recruiting
NCT04444557,Sisli Hamidiye Etfal Training and Research Hospital,Not Applicable,Generic,Unknown,97,2020-05-01,Turkey,Unknown
NCT04373486,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,160,2020-05-01,France,Recruiting
