NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04382092,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,BioMérieux,Diagnostic,Unknown,32,2020-04-24,Belgium,Unknown
NCT04375774,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Not Applicable,Prevention,Unknown,10,2020-05-01,Belgium,Recruiting
NCT04346420,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Not Applicable,Supportive Care,Unknown,12,2020-05-01,Belgium,Unknown
NCT04394000,Jessa Hospital,Not Applicable,Generic,Unknown,72,2020-05-15,Belgium,Unknown
NCT04338932,Jessa Hospital,Not Applicable,Generic,Unknown,12,2020-05-15,Belgium,Unknown
NCT04361448,Jessa Hospital,Not Applicable,Diagnostic,Unknown,30,2020-05-20,Belgium,Unknown
NCT04344145,Université Libre de Bruxelles,Not Applicable,Generic,Unknown,693,2020-05-29,Belgium,Unknown
NCT04338841,"University Hospital, Angers",Not Applicable,Treatment,Unknown,3133,2020-06-17,Belgium,Unknown
NCT04445597,Universitaire Ziekenhuizen Leuven,Max-Planck-Institute for Neurological Research,Basic Science,Unknown,8,2020-06-30,Belgium,Recruiting
NCT04367636,University Ghent,Not Applicable,Supportive Care,Unknown,100,2020-08-01,Belgium,Unknown
NCT04356586,Sciensano,Jessa Hospital,Generic,Unknown,287,2020-08-21,Belgium,Unknown
NCT04503447,"Institute of Tropical Medicine, Belgium",Not Applicable,Generic,Unknown,430,2020-09-01,Belgium,Recruiting
NCT04463862,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,250,2020-09-04,Belgium,Recruiting
NCT04340219,"University Hospital, Ghent",Not Applicable,Generic,Unknown,394,2020-09-18,Belgium,Unknown
NCT04373889,Sciensano,Institute of Tropical Medicine Antwerp,Generic,Unknown,800,2020-09-27,Belgium,Recruiting
NCT04327570,Universitaire Ziekenhuizen Leuven,Not Applicable,Generic,Unknown,100,2020-09-30,Belgium,Recruiting
NCT04498507,University of Liege,Not Applicable,Generic,Unknown,50,2020-09-30,Belgium,Recruiting
NCT04502368,Erasme University Hospital,Not Applicable,Generic,Unknown,15,2020-09-30,Belgium,Recruiting
NCT04376398,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Society for Anesthesia and Resuscitation of Belgium,Generic,Unknown,200,2020-09-30,Belgium,Recruiting
NCT04426305,University Ghent,Not Applicable,Supportive Care,Unknown,140,2020-10-30,Belgium,Unknown
NCT04462627,Hanane EL KENZ,Not Applicable,Prevention,Unknown,500,2020-12-01,Belgium,Recruiting
NCT04371679,Hasselt University,Not Applicable,Generic,Unknown,40,2020-12-01,Belgium,Recruiting
NCT04346017,Francis Corazza,Not Applicable,Basic Science,Unknown,200,2020-12-01,Belgium,Recruiting
NCT04330638,"University Hospital, Ghent",Belgium Health Care Knowledge Centre,Treatment,Phase 3,342,2020-12-01,Belgium,Recruiting
NCT04518969,Dr David DE BELS,Not Applicable,Treatment,Unknown,24,2020-12-01,Belgium,Recruiting
NCT04497246,Murielle Surquin,Not Applicable,Generic,Unknown,5000,2020-12-01,Belgium,Recruiting
NCT04499300,Murielle Surquin,Not Applicable,Generic,Unknown,50,2020-12-01,Belgium,Recruiting
NCT04366882,Jessa Hospital,Hasselt University,Health Services Research,Unknown,45,2020-12-01,Belgium,Recruiting
NCT04334252,Jessa Hospital,Not Applicable,Generic,Unknown,5000,2020-12-20,Belgium,Recruiting
NCT04338568,Hasselt University,Ziekenhuis Oost-Limburg,Diagnostic,Unknown,50,2020-12-30,Belgium,Recruiting
NCT04371250,Erasme University Hospital,Université Libre de Bruxelles,Generic,Unknown,800,2020-12-30,Belgium,Unknown
NCT04326920,"University Hospital, Ghent",Flanders Institute of Biotechnology,Treatment,Phase 4,80,2020-12-31,Belgium,Recruiting
NCT04368143,"Institute of Tropical Medicine, Belgium","University Hospital, Antwerp",Generic,Unknown,100,2020-12-31,Belgium,Recruiting
NCT04353141,KU Leuven,Not Applicable,Generic,Unknown,1850,2020-12-31,Belgium,Recruiting
NCT04396210,"University Hospital, Ghent",Not Applicable,Generic,Unknown,2000,2020-12-31,Belgium,Recruiting
NCT04401228,Clinique Saint Pierre Ottignies,Not Applicable,Generic,Unknown,60,2021-01-01,Belgium,Unknown
NCT04406181,Universitair Ziekenhuis Brussel,Not Applicable,Supportive Care,Unknown,200,2021-01-01,Belgium,Recruiting
NCT04593069,Ziekenhuis Oost-Limburg,Not Applicable,Other,Unknown,60,2021-02-28,Belgium,Recruiting
NCT04544072,Universitair Ziekenhuis Brussel,Not Applicable,Generic,Unknown,400,2021-03-01,Belgium,Recruiting
NCT04393038,Abivax S.A.,Not Applicable,Treatment,Phase 2,1034,2021-04-30,Belgium,Not yet recruiting
NCT04426292,Universitair Ziekenhuis Brussel,Not Applicable,Health Services Research,Unknown,3500,2021-05-12,Belgium,Recruiting
NCT04527614,Sciensano,Mensura EDPB,Diagnostic,Unknown,2000,2021-05-30,Belgium,Unknown
NCT04425317,CRG UZ Brussel,Not Applicable,Diagnostic,Unknown,20,2021-06-15,Belgium,Recruiting
NCT04469634,"Institute of Tropical Medicine, Belgium",Jessa Hospital,Basic Science,Unknown,150,2021-07-01,Belgium,Unknown
NCT04382755,"University Hospital, Ghent",UCB Pharma,Treatment,Phase 2,81,2021-09-01,Belgium,Recruiting
NCT03724045,Universitair Ziekenhuis Brussel,Baxter Healthcare Corporation,Prevention,Unknown,50,2021-10-01,Belgium,Recruiting
NCT04449276,CureVac AG,Coalition for Epidemic Preparedness Innovations (CEPI),Prevention,Phase 1,284,2021-10-01,Belgium,Recruiting
NCT04497298,Institut Pasteur,Themis Bioscience GmbH,Prevention,Phase 1,90,2021-10-01,Belgium,Recruiting
NCT04429854,Universitaire Ziekenhuizen Leuven,Federal Knowledge Centre (KCE),Treatment,Phase 2,483,2021-11-02,Belgium,Recruiting
NCT04437901,Hospital Clinic of Barcelona,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Generic,Unknown,10000,2021-12-01,Belgium,Unknown
NCT04579471,Universitaire Ziekenhuizen Leuven,KU Leuven,Generic,Unknown,2000,2021-12-31,Belgium,Recruiting
NCT04378686,Universitaire Ziekenhuizen Leuven,Not Applicable,Generic,Unknown,500,2022-05-01,Belgium,Not yet recruiting
NCT04558476,University of Liege,KCE,Treatment,Phase 2,500,2022-09-01,Belgium,Recruiting
NCT04445454,University of Liege,Not Applicable,Treatment,Phase 1,20,2022-09-30,Belgium,Recruiting
NCT04382196,"University Hospital, Ghent",Not Applicable,Generic,Unknown,497,2022-12-31,Belgium,Unknown
NCT04524156,Erasme University Hospital,Not Applicable,Basic Science,Unknown,100,2023-05-04,Belgium,Unknown
